id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2022-360375,2022-04-21,1,Vente,260000.0,26.0,None,RUE DELILLE,582,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0065,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,129.0,4.0,S,sols,None,None,351.0,1.071855,49.401886,000AB
2022-360375,2022-04-21,1,Vente,260000.0,26.0,None,RUE DELILLE,582,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0065,None,None,None,None,None,None,None,None,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,351.0,1.071855,49.401886,000AB
2021-1180016,2021-05-10,1,Vente,160000.0,13.0,None,RUE ALFRED DE MUSSET,40,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0023,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,64.0,4.0,S,sols,None,None,452.0,1.070963,49.402764,000AB
2021-1177880,2021-01-14,1,Vente,174000.0,21.0,None,RUE PAUL VERLAINE,1920,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0012,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,64.0,4.0,S,sols,None,None,498.0,1.070475,49.403622,000AB
2021-1177880,2021-01-14,1,Vente,174000.0,21.0,None,RUE PAUL VERLAINE,1920,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0012,None,None,None,None,None,None,None,None,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,498.0,1.070475,49.403622,000AB
2020-1061542,2020-03-10,1,Vente,200000.0,2.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0090,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,18.0,1.0,S,sols,None,None,105.0,1.074902,49.403036,000AB
2020-1061542,2020-03-10,1,Vente,200000.0,2.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0090,None,None,None,None,None,None,None,None,None,None,None,None,0,4,Local industriel. commercial ou assimilé,68.0,0.0,S,sols,None,None,105.0,1.074902,49.403036,000AB
2019-1116084,2019-08-28,1,Vente,180000.0,28.0,None,RUE DELILLE,582,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0066,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,108.0,5.0,S,sols,None,None,348.0,1.071647,49.401956,000AB
2019-1114082,2019-06-14,1,Vente,188000.0,38.0,None,RUE DELILLE,582,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0071,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,74.0,5.0,S,sols,None,None,377.0,1.070502,49.402256,000AB
2019-1112279,2019-02-06,1,Vente,20000.0,,None,ALL DU CHAMP DE COURSE,432,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0232,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,,,S,sols,None,None,3182.0,1.070577,49.404334,000AB
2018-1035494,2018-10-18,1,Vente,147000.0,26.0,None,RUE ALFRED DE MUSSET,40,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0042,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,64.0,4.0,S,sols,None,None,499.0,1.071141,49.40232,000AB
2018-1034872,2018-09-21,1,Vente,136000.0,19.0,None,RUE ALFRED DE MUSSET,40,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0020,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,64.0,4.0,S,sols,None,None,453.0,1.071604,49.402748,000AB
2018-1035039,2018-09-14,1,Vente,820000.0,1.0,A,AV DES CANADIENS,380,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0108,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,77.0,3.0,S,sols,None,None,2847.0,1.067422,49.403732,000AB
2018-1035039,2018-09-14,1,Vente,820000.0,1.0,A,AV DES CANADIENS,380,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0108,None,None,None,None,None,None,None,None,None,None,None,None,0,4,Local industriel. commercial ou assimilé,797.0,0.0,S,sols,None,None,2847.0,1.067422,49.403732,000AB
2018-1033927,2018-07-27,1,Vente,125000.0,18.0,None,RUE ALFRED DE MUSSET,40,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0038,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,77.0,5.0,S,sols,None,None,537.0,1.070309,49.402548,000AB
2018-1033565,2018-07-05,1,Vente,242000.0,6.0,None,RUE ALFRED DE MUSSET,40,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0031,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,116.0,5.0,S,sols,None,None,608.0,1.069273,49.403168,000AB
2018-1033622,2018-06-29,1,Vente,427600.0,2.0,None,RUE ANTONIN ARTAUD,152,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0143,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,30.0,1.0,S,sols,None,None,767.0,1.074476,49.401507,000AB
2018-1033622,2018-06-29,1,Vente,427600.0,2.0,None,RUE ANTONIN ARTAUD,152,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0143,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,41.0,2.0,S,sols,None,None,767.0,1.074476,49.401507,000AB
2018-1033622,2018-06-29,1,Vente,427600.0,2.0,None,RUE ANTONIN ARTAUD,152,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0143,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,84.0,3.0,S,sols,None,None,767.0,1.074476,49.401507,000AB
2018-1033622,2018-06-29,1,Vente,427600.0,2.0,None,RUE ANTONIN ARTAUD,152,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0143,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,89.0,3.0,S,sols,None,None,767.0,1.074476,49.401507,000AB
2018-1033622,2018-06-29,1,Vente,427600.0,2.0,None,RUE ANTONIN ARTAUD,152,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0143,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,89.0,3.0,S,sols,None,None,767.0,1.074476,49.401507,000AB
2018-1031990,2018-04-19,1,Vente,130000.0,24.0,None,RUE ALFRED DE MUSSET,40,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0041,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,64.0,4.0,S,sols,None,None,450.0,1.071012,49.402369,000AB
2017-544521,2017-09-27,1,Vente,700000.0,1.0,A,AV DES CANADIENS,380,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0108,None,None,None,None,None,None,None,None,None,None,None,None,0,2,Appartement,77.0,3.0,S,sols,None,None,2847.0,1.067422,49.403732,000AB
2017-544521,2017-09-27,1,Vente,700000.0,1.0,A,AV DES CANADIENS,380,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AB0108,None,None,None,None,None,None,None,None,None,None,None,None,0,4,Local industriel. commercial ou assimilé,797.0,0.0,S,sols,None,None,2847.0,1.067422,49.403732,000AB
2022-360822,2022-06-01,1,Vente,140000.0,61.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0350,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,70.0,4.0,S,sols,None,None,146.0,1.079165,49.401264,000AC
2022-360779,2022-05-25,1,Vente,160000.0,24.0,B,RUE DE BUFFON,350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0103,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,90.0,4.0,S,sols,None,None,319.0,1.078233,49.404601,000AC
2022-360061,2022-03-18,1,Vente,81000.0,6.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0638,None,None,68,,84,,92,,None,None,None,None,3,2,Appartement,86.0,4.0,None,None,None,None,,1.077678,49.400639,000AC
2022-360061,2022-03-18,1,Vente,81000.0,6.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0638,None,None,68,,84,,92,,None,None,None,None,3,3,Dépendance,,0.0,None,None,None,None,,1.077678,49.400639,000AC
